"MIRCCO_AREA","Région","MIRCCO_SECTOR","Secteur","MIRCCO_INSTRUMENT","Instrument","MIRCCO_MATURITY","Maturité","FREQUENCY","Fréquence","TIME","Temps","Value","Flag Codes","Flags"
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-04","2009M4",4.72,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-05","2009M5",4.64,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-06","2009M6",4.55,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-08","2009M8",4.23,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-09","2009M9",4.25,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-10","2009M10",4.18,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-11","2009M11",4.11,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-09","2010M9",3.81,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-10","2010M10",3.84,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-11","2010M11",3.87,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-12","2010M12",3.88,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-10","2011M10",4.48,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-11","2011M11",4.47,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-12","2011M12",4.5,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-01","2012M1",4.49,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-10","2012M10",4,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-11","2012M11",3.97,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-12","2012M12",3.98,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-01","2013M1",4.02,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-02","2013M2",4.02,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-11","2013M11",3.81,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-12","2013M12",3.82,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-01","2014M1",3.89,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-02","2014M2",3.86,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-12","2014M12",3.19,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-01","2015M1",3.28,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-02","2015M2",3.23,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-03","2015M3",3.21,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-01","2016M1",2.81,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-02","2016M2",2.78,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-03","2016M3",2.72,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-04","2016M4",2.63,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2017-01","2017M1",2.46,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2017-02","2017M2",2.47,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2017-03","2017M3",2.43,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2017-04","2017M4",2.39,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-07","2009M7",4.34,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-05","2010M5",3.97,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-06","2010M6",3.73,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-07","2010M7",3.72,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-08","2010M8",3.77,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-05","2011M5",4.18,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-06","2011M6",4.29,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-07","2011M7",4.3,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-08","2011M8",4.37,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-09","2011M9",4.42,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-06","2012M6",4.23,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-07","2012M7",4.11,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-08","2012M8",4.01,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-09","2012M9",4,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-07","2013M7",3.88,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-08","2013M8",3.85,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-09","2013M9",3.9,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-10","2013M10",3.89,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-08","2014M8",3.57,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-09","2014M9",3.56,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-10","2014M10",3.46,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-11","2014M11",3.38,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-08","2015M8",2.96,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-09","2015M9",3.01,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-10","2015M10",2.92,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-11","2015M11",2.88,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-12","2015M12",2.86,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-09","2016M9",2.55,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-10","2016M10",2.5,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-11","2016M11",2.47,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2016-12","2016M12",2.48,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2017-10","2017M10",2.26,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2017-11","2017M11",2.23,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2017-12","2017M12",2.23,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-01","2009M1",5.65,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-02","2009M2",5.38,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-03","2009M3",5.08,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2009-12","2009M12",4.06,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-01","2010M1",4.05,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-02","2010M2",4.03,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-03","2010M3",3.98,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2010-04","2010M4",3.98,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-01","2011M1",4.02,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-02","2011M2",4.03,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-03","2011M3",4.03,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2011-04","2011M4",4.15,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-02","2012M2",4.46,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-03","2012M3",4.43,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-04","2012M4",4.28,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2012-05","2012M5",4.26,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-03","2013M3",3.98,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-04","2013M4",3.95,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-05","2013M5",3.92,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2013-06","2013M6",3.93,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-03","2014M3",3.82,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-04","2014M4",3.85,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-05","2014M5",3.77,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-06","2014M6",3.75,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2014-07","2014M7",3.63,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-04","2015M4",3.15,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-05","2015M5",3.09,,
"EU","Eurozone","2240","Sociétés non financières","A2Z1","Avances en compte courant","Z","non applicable","M","Mensuelle","2015-06","2015M6",3.07,,
