"Commune","Année","Semestre","Trimestre","Type de bâtiment","Superficie du terrain","Nombre de ventes","Prix médian","1er quartile du prix","3ème quartile du prix"
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",1,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",24,202500,172500,237000
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",61,230000,190000,272500
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",10,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",2,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",1,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",1,,,
"Anderlecht","2010","1er semestre 2010",,"Appartements","Superficie inconnue",304,127250,104500,157500
"Anderlecht","2010","1er semestre 2010",,"Appartements","0-99m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Appartements","100-299m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Appartements","300-599m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Appartements","600-999m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Appartements","1000-1499m²",,,,
"Anderlecht","2010","1er semestre 2010",,"Appartements",">=1500m²",,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",17,210000,180000,228000
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",77,240000,210000,280000
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",9,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",2,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",1,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",1,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2010","2ème semestre 2010",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",,,,
